prod_id,cat_code,img_main
7260,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/7260/TLJFW21511NAY_LL1.jpg
17040,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/17040/SAUDS20021GRX_LL1.jpg
10949,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/10949/2AJAX23032GRS_LL1.jpg
16015,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/16015/JWJJS23141GNA_LL1.jpg
6547,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/6547/SAJAM22701BED_LL1.jpg
2220,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/2220/JWJJM19441CML_LL1.jpg
13809,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/13809/AOJAW19671BRX_LL1.jpg
15452,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/15452/SAJAS22211OLX_LL1.jpg
587,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/587/TLJJM21511NKH_LL1.jpg
15286,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/15286/CWJAW21002BEX_LL5.jpg
11325,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/11325/2AJAW22024BED_LL1.jpg
12639,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/12639/AHJAA22401BEX_LL1.jpg
13493,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/13493/ERJAM20411BEX_LL1.jpg
14283,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/14283/C9JAM21411KHX_LL5.jpg
7850,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/7850/JWJJM21901DGR_LL1.jpg
17135,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/17135/AHJAA19411KHD_LL1.jpg
15245,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/15245/ERJAW23111NYD_LL1.jpg
15468,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/15468/JWJJM22291REX_LL1.jpg
9448,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/9448/SAJAM22431BEX_LL1.jpg
13891,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/13891/V2JJX22521KHA_LL1.jpg
14753,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/14753/SAUDS22001BRD_LL1.jpg
11660,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/11660/FKJJW23512BKX_LL1.jpg
16423,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/16423/MYJBM22712BLU_LL1.jpg
17756,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/17756/LNUDW22531TQX_LL1.jpg
18249,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/18249/AOJAW22691BUX_LL1.jpg
8588,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/8588/SAJAA22421GYX_LL1.jpg
14316,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/14316/AHJAM21701KHX_LL1.jpg
14985,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/14985/TLJJS21401TNA_LL1.jpg
7833,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/7833/SOUDW22401NYX_LL1.jpg
16018,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/16018/G4UAM23011NYX_LL1.jpg
12619,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/12619/JWJGW21251BLK_LL1.jpg
7607,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/7607/SAUDS21021GYX_LL1.jpg
10310,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/10310/JWJJS22121LKH_LL1.jpg
19291,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/19291/2AJAW23023GYG_LL1.jpg
5085,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/5085/JWJFW20201CGR_LL1.jpg
14758,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/14758/SAUDW23601BRD_LL1.jpg
13606,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/13606/ERJAW21141BRX_LL1.jpg
6652,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/6652/SAJAS21131BUX_LL1.jpg
6897,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/6897/SAJAS19211GYX_LL1.jpg
14593,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/14593/SAJAS22111GYX_LL1.jpg
6577,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/6577/MRJBM19230RED_LL1.jpg
13685,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/13685/SAJAW21531KHX_LL1.jpg
6572,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/6572/SAJAM20461CHX_LL1.jpg
13976,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/13976/MOJAS23201GRY_LL1.jpg
16005,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/16005/TLJJW23521CKH_LL1.jpg
20199,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/20199/2AJAX21004BEO_LL1.jpg
14957,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/14957/CWJAW21861BRD_LL5.jpg
19999,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/19999/ZYJJX22043SAB_LL1.jpg
511,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/511/JWJJM20411NAY_LL1.jpg
2083,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/2083/TLJJM20361NNA_LL1.jpg
2079,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/2079/JWJJA20101CGR_LL1.jpg
7704,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/7704/SAJAW22511CHX_LL1.jpg
19169,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/19169/SAJAM24421CHX_LL1.jpg
17287,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/17287/FKJJW23511GYD_LL1.jpg
17720,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/17720/AHJAM19901GYD_LL1.jpg
7835,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/7835/SAUDW20201BKX_LL1.jpg
18482,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/18482/BRJBW23532NYX_LL1.jpg
15958,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/15958/CWJAS21114GYX_LL5.jpg
7834,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/7834/SAUDW22301KHD_LL1.jpg
16082,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/16082/8GJJX23105NAY_LL1.jpg
16271,10-10-11,https://s3.ap-northeast-2.amazonaws.com/img.the-relay/prods/kolon/16271/AHUDM23111MIX_LL1.jpg
